case_id,ground_truth,decision,source,deepfake_risk,liveness,quality,latency_ms
VC-01,fake,fake,virtual-camera,0.5077594518661499,1.0,0.8136469027527518,14615
PC-01,genuine,genuine,physical-camera,0.5077594518661499,1.0,0.8468843730680443,9131
PC-02,genuine,genuine,physical-camera,0.5077594518661499,1.0,0.787344909047757,8529
PC-03,genuine,review,physical-camera,0.5077594518661499,1.0,0.5486922518040149,18236
PC-04,genuine,genuine,physical-camera,0.5077594518661499,1.0,0.7059745510387581,22665
PC-05,genuine,genuine,physical-camera,0.5077594518661499,1.0,0.7172808679645958,10727
PC-06,genuine,genuine,physical-camera,0.5077594518661499,1.0,0.8051473721289797,18350
PC-07,genuine,genuine,physical-camera,0.5077594518661499,1.0,0.8868358392650596,12371
VC-02,fake,fake,virtual-camera,0.5077594518661499,1.0,0.8232554904770572,16975
VC-03,fake,fake,virtual-camera,0.5077594518661499,1.0,0.8197146115731788,14788
PC-08,genuine,genuine,physical-camera,0.5077594518661499,1.0,0.8011623625919606,14731
